Ticker,Date,ClosePrice,ChangePct,AbsChange,OvernightReturn,20D_Range,VolRatio,5D_Change,Direction,Volume,DayOfWeek,Bin,RangeBin,VolBin,Month,OvernightAbs,AvgOvernightVol20,VolSpike,GapBin
AAPL,2025-07-17,209.19009399414062,-0.06661748290881508,0.06661748290881508,0.4047219264211366,70.652164284948,0.8804238436699612,-1.125181692047894,Down,48068100.0,Thursday,<1%,50-75%,0.8-1.2x,July,0.4047219264211366,,,0 to 0.5%
AAPL,2025-07-18,210.3455047607422,0.5523257552692451,0.5523257552692451,0.4356512269873658,73.92867085000235,0.8940961604394955,0.009460313079778793,Up,48974600.0,Friday,<1%,50-75%,0.8-1.2x,July,0.4356512269873658,,,0 to 0.5%
AAPL,2025-07-21,211.64036560058594,0.6155875978032466,0.6155875978032466,0.31062079385950625,78.2859640832479,0.9785475261902796,1.8502590634386085,Up,51377400.0,Monday,<1%,75-100%,0.8-1.2x,July,0.31062079385950625,,,0 to 0.5%
AAPL,2025-07-22,213.5527801513672,0.9036152178977019,0.9036152178977019,0.2798554496103778,89.21620792220311,0.8918167190290435,2.5297653933163744,Up,46404100.0,Tuesday,<1%,75-100%,0.8-1.2x,July,0.2798554496103778,0.39365894416219294,0.7109083986545304,0 to 0.5%
AAPL,2025-07-23,213.30377197265625,-0.11660263965397322,0.11660263965397322,-0.11674058688200262,87.74304448507232,0.9092446539236358,1.8985508820456465,Down,46989300.0,Wednesday,<1%,75-100%,0.8-1.2x,July,0.11674058688200262,0.37078907101401604,0.3148436564291016,-0.5 to 0%
AAPL,2025-07-24,212.91531372070312,-0.18211504107996657,0.18211504107996657,0.4397400355701464,85.44487702490466,0.8849762236167428,1.780782089359767,Down,46022600.0,Thursday,<1%,75-100%,0.8-1.2x,July,0.4397400355701464,0.3895518584897606,1.1288356761406775,0 to 0.5%
AAPL,2025-07-25,213.0348358154297,0.056135978496762995,0.056135978496762995,0.07014443100159529,86.15198464197957,0.7822553480314435,1.2785303197929032,Up,40268800.0,Friday,<1%,75-100%,<0.8x,July,0.07014443100159529,0.37091989990853946,0.18910937649581847,0 to 0.5%
AAPL,2025-07-28,213.20419311523438,0.07949746770590238,0.07949746770590238,0.060721976096966834,87.15392354685824,0.7615573846504486,0.7389079631433537,Up,37858000.0,Monday,<1%,75-100%,<0.8x,July,0.060721976096966834,0.3508317498205471,0.17308004799459156,0 to 0.5%
AAPL,2025-07-29,210.43516540527344,-1.298767941428014,1.298767941428014,0.2981923831467004,50.842504528667995,1.0781245363572947,-1.4598801963074282,Down,51411700.0,Tuesday,1-2%,50-75%,0.8-1.2x,July,0.2981923831467004,0.32918621483344124,0.9058471154315413,0 to 0.5%
AAPL,2025-07-30,208.22393798828125,-1.0507879767783224,1.0507879767783224,-0.26788667177010117,20.31076422910442,0.9889202902542163,-2.381502182261541,Down,45512500.0,Wednesday,1-2%,0-25%,0.8-1.2x,July,0.26788667177010117,0.31635586165728535,0.8467890253928918,-0.5 to 0%
